x,E_0,F_0,E+F,E-F
2.649,1.37199e-07,0,0.0137217,-0.000584819
2.655,1.37199e-07,0,0.0137217,-0.000584819
2.661,1.37199e-07,0,0.0137217,-0.000584819
2.667,1.37199e-07,0,0.0137217,-0.000584819
2.673,1.37199e-07,0,0.0137217,-0.000584819
2.679,1.37199e-07,0,0.0137217,-0.000584819
2.685,1.37199e-07,0,0.0137217,-0.000584819
2.691,1.37199e-07,0,0.0137217,-0.000584819
2.697,1.37199e-07,0,0.0137217,-0.000584819
2.703,1.37199e-07,0,0.0137217,-0.000584819
2.709,1.37199e-07,0,0.0137217,-0.000584819
2.715,1.37199e-07,0,0.0137217,-0.000584819
2.721,1.37199e-07,0,0.0137217,-0.000584819
2.727,1.37199e-07,0,0.0137217,-0.000584819
2.733,1.37199e-07,0,0.0137217,-0.000584819
2.739,1.37199e-07,0,0.0137217,-0.000584819
2.745,1.37199e-07,0,0.0137217,-0.000584819
2.751,1.37199e-07,0,0.0137217,-0.000584819
2.757,1.37199e-07,0,0.0137217,-0.000584819
2.763,1.37199e-07,0,0.0137217,-0.000584819
2.769,1.37199e-07,0,0.0137217,-0.000584819
2.775,1.37199e-07,0,0.0137217,-0.000584819
2.781,1.37199e-07,0,0.0137217,-0.000584819
2.787,1.37199e-07,0,0.0137217,-0.000584819
2.793,1.37199e-07,0,0.0137217,-0.000584819
2.799,1.37199e-07,0,0.0137217,-0.000584819
2.805,1.37199e-07,0,0.0137217,-0.000584819
2.811,1.37199e-07,0,0.0137217,-0.000584819
2.817,1.37199e-07,0,0.0137217,-0.000584819
2.823,1.37199e-07,0,0.0137217,-0.000584819
2.829,1.37199e-07,0,0.0137217,-0.000584819
2.835,1.37199e-07,0,0.0137217,-0.000584819
2.841,1.37199e-07,0,0.0137217,-0.000584819
2.847,1.37199e-07,0,0.0137217,-0.000584819
2.853,1.37199e-07,0,0.0137217,-0.000584819
2.859,1.37199e-07,0,0.0137217,-0.000584819
2.865,1.37199e-07,0,0.0137217,-0.000584819
2.871,1.37199e-07,0,0.0137217,-0.000584819
2.877,1.37199e-07,0,0.0137217,-0.000584819
2.883,1.37199e-07,0,0.0137217,-0.000584819
2.889,1.37199e-07,0,0.0137217,-0.000584819
2.895,1.37199e-07,0,0.0137217,-0.000584819
2.901,1.37199e-07,0,0.0137217,-0.000584819
2.907,1.37199e-07,0,0.0137217,-0.000584819
2.913,1.37199e-07,0,0.0137217,-0.000584819
2.919,1.37199e-07,0,0.0137217,-0.000584819
2.925,1.37199e-07,0,0.0137217,-0.000584819
2.931,1.37199e-07,0,0.0137217,-0.000584819
2.937,1.37199e-07,0,0.0137217,-0.000584819
2.943,1.37199e-07,0,0.0137217,-0.000584819
2.949,1.37199e-07,0,0.0137217,-0.000584819
2.955,1.37199e-07,0,0.0137217,-0.000584819
2.961,1.37199e-07,0,0.0137217,-0.000584819
2.967,1.37199e-07,0,0.0137217,-0.000584819
2.973,1.37199e-07,0,0.0137217,-0.000584819
2.979,1.37199e-07,0,0.0137217,-0.000584819
2.985,1.37199e-07,0,0.0137217,-0.000584819
2.991,1.37199e-07,0,0.0137217,-0.000584819
2.997,1.37199e-07,0,0.0137217,-0.000584819
